BOOT_TIME_EPOCH 1546494242777
BOOT_UPTIME_MILLIS 135913
time, touch_ID, touch_x, touch_y, touch_max_diameter, touch_min_diameter, touch_area, touch_pressure
163508, 0, 1718.0, 245.0, 4.0, 4.0, 12.566370614359172, 1.0
163508, 1, 1357.0, 453.0, 4.0, 4.0, 12.566370614359172, 1.0
163513, 0, 1717.3917, 245.60823, 4.0, 4.0, 12.566370614359172, 1.0
163513, 1, 1357.0, 453.0, 4.0, 4.0, 12.566370614359172, 1.0
163516, 0, 1717.0, 246.0, 4.0, 4.0, 12.566370614359172, 1.0
163516, 1, 1357.0, 454.0, 4.0, 4.0, 12.566370614359172, 1.0
163525, 0, 1716.0, 247.0, 4.0, 4.0, 12.566370614359172, 1.0
163525, 1, 1357.0, 455.0, 4.0, 4.0, 12.566370614359172, 1.0
163530, 0, 1715.4144, 247.5856, 4.0, 4.0, 12.566370614359172, 1.0
163530, 1, 1356.4144, 455.5856, 4.0, 4.0, 12.566370614359172, 1.0
163533, 0, 1715.0, 248.0, 4.0, 4.0, 12.566370614359172, 1.0
163533, 1, 1356.0, 456.0, 4.0, 4.0, 12.566370614359172, 1.0
163542, 0, 1715.0, 249.0, 4.0, 4.0, 12.566370614359172, 1.0
163542, 1, 1355.0, 458.0, 4.0, 4.0, 12.566370614359172, 1.0
163546, 0, 1714.4497, 249.55026, 4.0, 4.0, 12.566370614359172, 1.0
163546, 1, 1354.4497, 459.10052, 4.0, 4.0, 12.566370614359172, 1.0
163550, 0, 1714.0, 250.0, 4.0, 4.0, 12.566370614359172, 1.0
163550, 1, 1354.0, 460.0, 4.0, 4.0, 12.566370614359172, 1.0
163558, 0, 1713.0, 251.0, 4.0, 4.0, 12.566370614359172, 1.0
163558, 1, 1354.0, 461.0, 4.0, 4.0, 12.566370614359172, 1.0
163563, 0, 1713.0, 251.53029, 4.0, 4.0, 12.566370614359172, 1.0
163563, 1, 1353.4697, 462.06058, 4.0, 4.0, 12.566370614359172, 1.0
163567, 0, 1713.0, 252.0, 4.0, 4.0, 12.566370614359172, 1.0
163567, 1, 1353.0, 463.0, 4.0, 4.0, 12.566370614359172, 1.0
163575, 0, 1712.0, 253.0, 4.0, 4.0, 12.566370614359172, 1.0
163575, 1, 1353.0, 465.0, 4.0, 4.0, 12.566370614359172, 1.0
163580, 0, 1712.0, 253.52187, 4.0, 4.0, 12.566370614359172, 1.0
